delta_keV,v_lab_kms,N_SHM,N_stream_pure,N_f0.01,N_f0.05,N_f0.2,boost_f0.01,boost_f0.05,boost_f0.2
435,625,0,0,0,0,0,inf,inf,inf
435,650,0,0,0,0,0,inf,inf,inf
435,675,0,3.9162e-16,3.9162e-18,1.9581e-17,7.8324e-17,inf,inf,inf
435,700,0,6.0368e-11,6.0368e-13,3.0184e-12,1.2074e-11,inf,inf,inf
435,725,0,3.0917e-07,3.0917e-09,1.5459e-08,6.1835e-08,inf,inf,inf
435,750,0,0.00036518,3.6518e-06,1.8259e-05,7.3037e-05,inf,inf,inf
435,775,0,0.10291,0.0010291,0.0051457,0.020583,inf,inf,inf
435,800,0,7.3637,0.073637,0.36818,1.4727,inf,inf,inf
435,825,0,155.43,1.5543,7.7716,31.086,inf,inf,inf
435,850,0,1417,14.17,70.848,283.39,inf,inf,inf
435,875,0,8626.2,86.262,431.31,1725.2,inf,inf,inf
435,900,0,34011,340.11,1700.6,6802.3,inf,inf,inf
435,925,0,82996,829.96,4149.8,16599,inf,inf,inf
435,950,0,1.4181e+05,1418.1,7090.5,28362,inf,inf,inf
435,975,0,1.9233e+05,1923.3,9616.5,38466,inf,inf,inf
435,1000,0,2.2479e+05,2247.9,11239,44958,inf,inf,inf
440,600,0,0,0,0,0,inf,inf,inf
440,625,0,0,0,0,0,inf,inf,inf
440,650,0,0,0,0,0,inf,inf,inf
440,675,0,2.5447e-21,2.5447e-23,1.2723e-22,5.0894e-22,inf,inf,inf
440,700,0,7.1389e-12,7.1389e-14,3.5694e-13,1.4278e-12,inf,inf,inf
440,725,0,5.0682e-08,5.0682e-10,2.5341e-09,1.0136e-08,inf,inf,inf
440,750,0,8.2533e-05,8.2533e-07,4.1267e-06,1.6507e-05,inf,inf,inf
440,775,0,0.031833,0.00031833,0.0015917,0.0063667,inf,inf,inf
440,800,0,3.0642,0.030642,0.15321,0.61284,inf,inf,inf
440,825,0,82.552,0.82552,4.1276,16.51,inf,inf,inf
440,850,0,845.52,8.4552,42.276,169.1,inf,inf,inf
440,875,0,5428.4,54.284,271.42,1085.7,inf,inf,inf
440,900,0,24062,240.62,1203.1,4812.3,inf,inf,inf
440,925,0,66038,660.38,3301.9,13208,inf,inf,inf
440,950,0,1.2273e+05,1227.3,6136.4,24546,inf,inf,inf
440,975,0,1.7614e+05,1761.4,8807.2,35229,inf,inf,inf
440,1000,0,2.1406e+05,2140.6,10703,42811,inf,inf,inf
445,600,0,0,0,0,0,inf,inf,inf
445,625,0,0,0,0,0,inf,inf,inf
445,650,0,0,0,0,0,inf,inf,inf
445,675,0,0,0,0,0,inf,inf,inf
445,700,0,7.5469e-13,7.5469e-15,3.7734e-14,1.5094e-13,inf,inf,inf
445,725,0,7.5714e-09,7.5714e-11,3.7857e-10,1.5143e-09,inf,inf,inf
445,750,0,1.7111e-05,1.7111e-07,8.5557e-07,3.4223e-06,inf,inf,inf
