m_chi_GeV,model,mZp_GeV,feasible,gchi,gN,G_max,Omega_h2,sigv_ff_cm3s,sigv_ZZ_cm3s,Gamma_over_M,Nmax_250,Nmax_280,Nmax_300,Nmax_320,Nmax_340,Nmax_350,Nmax_360,Nmax_366,Nmax_370,Nmax_380,delta_Nmax1_keV
1000.0,B-L,372.7593720314938,True,0.6795084084038653,0.01863796860157469,9.114571750411345e-08,0.12,2.1797462317359103e-28,4.5689113481529475e-26,5.8472827382364226e-05,3.192392561480406,1.0019917559324183,0.41432807604372507,0.1299410817009812,0.024861090163751633,0.008088369186091359,0.001922170466511507,0.0006519726102178817,0.00028796255513708014,2.087770646432485e-05,280.0486744046026
1000.0,B-L,439.397056076079,True,0.6856436504143306,0.021969852803803952,7.802096542672506e-08,0.12,3.165579579113732e-28,4.557973860048958e-26,8.240699010187983e-05,2.3391948219994103,0.7341997833989113,0.3035948967507354,0.09521307283681413,0.018216723745697536,0.005926674415552016,0.0014084518478450615,0.0004777266343459588,0.00021100178155847136,1.5297937805595295e-05,272.10455852200874
1000.0,B-L,517.9474679231213,True,0.6956553310619024,0.025897373396156064,6.7155008388337e-08,0.12,4.698645043820928e-28,4.540977502193785e-26,0.00011510763818268308,1.7330080075399124,0.5439367819208961,0.2249202940127789,0.07053923687623544,0.013495980679134838,0.004390816072110886,0.001043460898422976,0.000353926947405344,0.00015632207014440393,1.1333578745392283e-05,264.2360101362149
1000.0,B-L,610.5402296585327,True,0.7133462377618843,0.030527011482926632,5.841926568547741e-08,0.12,7.235752908823475e-28,4.512903011234638e-26,0.0001603178790708118,1.3114626950334392,0.41162694854389786,0.17020958568589825,0.053380929168718415,0.010213152574351141,0.003322772574779383,0.0007896443848233594,0.0002678360320723912,0.00011829752806267098,8.57674382411274e-06,256.94198892845
1000.0,B-L,719.6856730011522,True,0.7492447946279405,0.03598428365005761,5.20536133159025e-08,0.12,1.1961040608299658e-27,4.460834190756714e-26,0.00022301052100270668,1.0412272299817558,0.32680852382711295,0.1351367874139579,0.04238143961142546,0.008108665694148113,0.0026380935553860095,0.0006269329951922956,0.00021264666606237692,9.392154875990832e-05,6.809449668727586e-06,251.02736613678508
1000.0,B-L,848.3428982440716,True,0.847161235243686,0.04241714491220358,4.9930354635912465e-08,0.12,2.371615067004529e-27,4.332173266649321e-26,0.00031004270816819245,0.9580166464613757,0.3006913352019513,0.12433721301559914,0.03899448984776796,0.007460654592869505,0.0024272680047241523,0.0005768310973010499,0.00019565282201257827,8.64157261571065e-05,6.265266550891329e-06,248.93900662138915
1000.0,B-L,1000.0,True,2.7274892169291935,0.05,1.363744608464597e-07,0.12,4.023163957159756e-26,0.0,0.00043092162353524684,7.146770684539164,2.2431468466168085,0.9275512615145474,0.2908975307808744,0.05565622239314808,0.018107334443255754,0.004303139816357989,0.001459563211006509,0.0006446582955149854,4.6738669397994845e-05,298.4258657670927
1000.0,B-L,1178.7686347935867,True,2.0237486152267614,0.05893843173967933,8.584163827794495e-08,0.12,3.9621126857328195e-26,0.0,0.0005988471186265878,2.831651152377144,0.8887663580580125,0.36750886722006293,0.11525769674425247,0.022051778800942265,0.007174380808614083,0.0017049645717876817,0.0005782994908952178,0.0002554226917247453,1.85185187692839e-05,277.01553759321524
1000.0,B-L,1389.4954943731375,True,1.3745461167923556,0.06947477471865687,4.946205735674133e-08,0.12,3.8487339524148535e-26,0.0,0.0008321544910236204,0.940130424393031,0.29507741187889136,0.1220158305933097,0.03826646063508651,0.007321363772280762,0.0023819507811537214,0.0005660616298389106,0.00019199997335306762,8.480233992425506e-05,6.1482936890307985e-06,248.47279083785435
1000.0,B-L,1637.8937069540646,True,0.7615361582823955,0.08189468534770322,2.3247423048550518e-08,0.12,3.5877729208978374e-26,0.0,0.0011563169898374708,0.20767938626667662,0.06518403639551629,0.026953890816582733,0.008453247393225857,0.001617324889622645,0.0005261845202667636,0.00012504576899525246,4.2413728557851074e-05,1.8733249613550036e-05,1.3581879990210671e-06,214.78022124760705
1000.0,B-L,1930.6977288832495,True,0.16050957133706137,0.09653488644416247,4.1567763025728264e-09,0.12,2.3989724775273558e-26,0.0,0.0016067272897583745,0.0066398315419429815,0.0020840345720896203,0.0008617576238029839,0.0002702634078536586,5.170838092662924e-05,1.6822933837367517e-05,3.997906850971934e-06,1.3560325738261052e-06,5.989309960085293e-07,4.342337329622357e-08,
1000.0,B-L,2275.8459260747863,True,0.3437487697150348,0.11379229630373931,7.552109872128024e-09,0.12,3.7984989881219138e-25,0.0,0.004305849638827723,0.021916961937930312,0.006879045967550742,0.0028445162985391683,0.0008920938408944408,0.00017068062788672882,5.552966190012868e-05,1.3196414958820225e-05,4.47603438722838e-06,1.9769700119717815e-06,1.4333321767849816e-07,
