tag,m_GeV,cfg,delta_peak_keV,Z_peak,kappa_hat_peak,sigma_n_peak_cm2,S_tot_unit_peak,mu_hat_peak,Z_300,Z_350,delta_last_keV,Z_last,delta_248_median_keV,ceiling_june,dmax248_june,peak_minus_dmax248,peak_minus_ceiling
v,4000,E262,410.0,3.773075357992499,16.63171207295034,4.937244461064046e-37,0.06012610100594458,1.0,3.4848083680613446,3.601620565448725,430.0,0.0,405.7781844574913,432.5136491453222,409.37905690321764,0.620943096782355,-22.513649145322177
v,4000,bH_half,395.0,3.856753161625672,0.946351450860117,2.8093129790156315e-38,1.0566898788934314,1.0,3.737100649708065,3.831118209069722,430.0,0.0,367.12035283677153,432.5136491453222,409.37905690321764,-14.379056903217645,-37.51364914532218
v,4000,bH_x2,395.0,3.47897336101859,0.946351450860117,2.8093129790156315e-38,1.0566898788934314,1.0,3.3459532772136353,3.4505524289650595,430.0,0.0,367.12035283677153,432.5136491453222,409.37905690321764,-14.379056903217645,-37.51364914532218
v,4000,baseline,395.0,3.672694354576379,0.946351450860117,2.8093129790156315e-38,1.0566898788934314,1.0,3.546874314992035,3.6457715923348526,430.0,0.0,367.12035283677153,432.5136491453222,409.37905690321764,-14.379056903217645,-37.51364914532218
v,4000,gauss3,395.0,3.6726943545763784,0.946351450860117,2.8093129790156315e-38,1.0566898788934314,1.0,3.55999979183461,3.6457843615214816,430.0,0.0,367.12035283677153,432.5136491453222,409.37905690321764,-14.379056903217645,-37.51364914532218
v,4000,june,400.0,3.6779881511938277,0.6582414761147344,1.9540376046286293e-38,1.5191993155801924,1.0,3.5357215278389598,3.6397718171132944,430.0,0.0,373.2628873917537,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
v,4000,obscut,390.0,3.680682080138918,0.4534833086584418,1.3461981208178253e-38,2.2051528268115113,1.0,3.5636825764981985,3.657371671432296,430.0,0.0,359.12658190475537,432.5136491453222,409.37905690321764,-19.379056903217645,-42.51364914532218
v,4000,sig15,400.0,3.6568249092674274,2.0407955778224345,6.058249817320474e-38,0.4900049818154829,1.0,3.5272716245765836,3.6264824756217826,430.0,0.0,371.87065498985544,432.5136491453222,409.37905690321764,-9.379056903217645,-32.51364914532218
v,4000,sig8,390.0,3.6819172494999246,0.4999367520247766,1.4840985395791656e-38,2.0002530239073932,1.0,3.5589208790992175,3.65750595652217,430.0,0.0,364.1051206412292,432.5136491453222,409.37905690321764,-19.379056903217645,-42.51364914532218
v,4000,sun,385.0,3.6747239723922838,0.4545895824548092,1.3494821748884933e-38,2.199786441651267,1.0,3.550060486418691,3.6490760726069773,430.0,0.0,364.21510617281535,432.5136491453222,409.37905690321764,-24.379056903217645,-47.51364914532218
