E_keV,"central (g1=1, Eb=100, g2=2.5)|helm","central (g1=1, Eb=100, g2=2.5)|wimpydd","soft high-E (g1=1, Eb=100, g2=3)|helm","soft high-E (g1=1, Eb=100, g2=3)|wimpydd","hard high-E (g1=1, Eb=100, g2=2)|helm","hard high-E (g1=1, Eb=100, g2=2)|wimpydd","Honda-like (g1=1.5, Eb=1000, g2=2.7)|helm","Honda-like (g1=1.5, Eb=1000, g2=2.7)|wimpydd","steep low-E (g1=2, Eb=100, g2=2.5)|helm","steep low-E (g1=2, Eb=100, g2=2.5)|wimpydd","low break (g1=1, Eb=50, g2=2.5)|helm","low break (g1=1, Eb=50, g2=2.5)|wimpydd","high break (g1=1, Eb=150, g2=2.5)|helm","high break (g1=1, Eb=150, g2=2.5)|wimpydd",single power law E^-2 above 10 MeV|helm,single power law E^-2 above 10 MeV|wimpydd
42.0,0.00019343820276977215,0.00016421246216774627,0.00018222501493292282,0.00015415333718916548,0.0002094645892865587,0.00017873820427112335,0.00021193616766385182,0.0001810935492931144,0.0001535426474206501,0.00012887685877135407,0.00014919326024689467,0.0001252351747820632,0.00021108474492475537,0.00018015014508688138,0.00017168329733277646,0.00014490810867797796
44.0,0.00016506650791674329,0.00013847298142637566,0.00015482353140103985,0.0001294267722932238,0.00017973047095932676,0.0001515551515655745,0.000182414364167285,0.0001540278142183256,0.00013009432215334006,0.00010790621897575994,0.0001258292233183168,0.00010437604886384416,0.00018115254340506518,0.0001527792659937506,0.00014646471671828066,0.00012216305178088438
46.0,0.00014047515219834715,0.00011636882194810555,0.00013119168679580706,0.00010829901700010717,0.00015378662319113148,0.00012805560694757967,0.0001565727425537271,0.00013055314088329778,0.00010998737252260622,9.008697560236889e-05,0.00010593219413575471,8.677174906418098e-05,0.00015502496335483907,0.00012910785556247777,0.00012466043674020774,0.0001026754343256088
48.0,0.00011918631504401215,9.745113218359573e-05,0.00011083506918637837,9.030644897867368e-05,0.00013117952279955648,0.0001078125838928934,0.00013397919156340836,0.0001102635291807607,9.275204022306064e-05,7.498355403015095e-05,8.898446943171731e-05,7.194290481001608e-05,0.00013224948328597447,0.00010870972176369027,0.00010581799469198731,8.602423153150911e-05
50.0,0.0001007834483065188,8.151478676328209e-05,9.332501371057753e-05,7.521878563320119e-05,0.00011151052593557628,9.06579634546913e-05,0.00011425386804064492,9.301481667428613e-05,7.798859467405463e-05,6.23677865259301e-05,7.45517241630958e-05,5.9623591452900546e-05,0.0001124278091581734,9.141865655102708e-05,8.954878519308872e-05,7.201246212994061e-05
52.0,8.49027098678685e-05,6.788018651404146e-05,7.828913559924449e-05,6.237406451047034e-05,9.442857185777047e-05,7.588707400124811e-05,9.706202021645984e-05,7.810967677581672e-05,6.535559507945113e-05,5.1663794658701584e-05,6.226782936947649e-05,4.9226443377778996e-05,9.520874881604773e-05,7.652656797536671e-05,7.551776141684199e-05,6.0030417066383314e-05
54.0,7.122578173259097e-05,5.6263161285954014e-05,6.540342205674562e-05,5.148354580924296e-05,7.962402721079061e-05,6.322283363482122e-05,8.210800394180636e-05,6.528395244906325e-05,5.456042632050238e-05,4.261345176583824e-05,5.182283964731866e-05,4.047821659331551e-05,8.028218924455193e-05,6.375584655280194e-05,6.34350919918239e-05,4.9821552665855994e-05
56.0,5.947380777335928e-05,4.653050771627951e-05,5.4385582162283775e-05,4.240107821750233e-05,6.682345613495855e-05,5.255135177201986e-05,6.913025120401154e-05,5.443951167460611e-05,4.535160155154259e-05,3.508219257024821e-05,4.29533994100795e-05,3.3229426374815035e-05,6.737397025376842e-05,5.299294932392277e-05,5.3049340711299e-05,4.1266041967596676e-05
58.0,4.9402245528859084e-05,3.8260927473062973e-05,4.498942145449716e-05,3.472164433514377e-05,5.578514927583634e-05,4.3428048554832984e-05,5.789700710131078e-05,4.513349415378869e-05,3.751245211043283e-05,2.872541494267836e-05,3.543501498646677e-05,2.7136553057358285e-05,5.62414939967193e-05,4.3790464936560943e-05,4.414184497721508e-05,3.399069643529593e-05
60.0,4.079647061501642e-05,3.127175795091033e-05,3.7000058168345843e-05,2.8262669624592874e-05,4.6295280374222906e-05,3.567051117629575e-05,4.820269314696753e-05,3.719075935184001e-05,3.08559174909103e-05,2.3385691737049535e-05,2.9075780703171065e-05,2.2038109922833647e-05,4.666994388968611e-05,3.5965067977270296e-05,3.6522047388539274e-05,2.7834639223572008e-05
