UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
6.500000000000000000e+00,1.005532482227933899e+00,1.015969841059803480e+00,1.027632923184151004e+00,1.046302925990534538e+00,1.046501681811324636e+00,1.006393281985192845e+00,1.018471598192659977e+00,1.031998842305061448e+00,1.053761010054605762e+00,1.054023932340217407e+00
6.583333333333333037e+00,1.005465096819753601e+00,1.015774120947217973e+00,1.027291631632696323e+00,1.045720999999701251e+00,1.045914992094009843e+00,1.006320956398425226e+00,1.018261284768553265e+00,1.031631571791623792e+00,1.053132630720775342e+00,1.053389925278261030e+00
6.666666666666666963e+00,1.005395093255168737e+00,1.015570815394424065e+00,1.026937153997525165e+00,1.045116758061352957e+00,1.045305841250669943e+00,1.006246012503869025e+00,1.018043379376355029e+00,1.031251090581849272e+00,1.052481839777172468e+00,1.052733348602967745e+00
6.750000000000000000e+00,1.005322505325115134e+00,1.015360024694006880e+00,1.026569669832025467e+00,1.044490525266839720e+00,1.044674561274698599e+00,1.006168484227702109e+00,1.017817982964808188e+00,1.030857579945305025e+00,1.051808967558741426e+00,1.052054540119827131e+00
6.833333333333333037e+00,1.005247368035567579e+00,1.015141852707843961e+00,1.026189365001062059e+00,1.043842637817991692e+00,1.044021495448910875e+00,1.006088406709153782e+00,1.017585200047719241e+00,1.030451227458654362e+00,1.051114355526573396e+00,1.051353848934273971e+00
6.916666666666666963e+00,1.005169717617047542e+00,1.014916406889665002e+00,1.025796431708971834e+00,1.043173443041990334e+00,1.043346998340272558e+00,1.006005816310071133e+00,1.017345138725911813e+00,1.030032227032566361e+00,1.050398356255950238e+00,1.050631635427882626e+00
7.000000000000000000e+00,1.005089591539382265e+00,1.014683798322357333e+00,1.025391068553719975e+00,1.042483299423940801e+00,1.042651435822596895e+00,1.005920750629692328e+00,1.017097910725158760e+00,1.029600778965185759e+00,1.049661333489126491e+00,1.049888271303751619e+00
7.083333333333333037e+00,1.005007028419555803e+00,1.014444141445004721e+00,1.024973480037583373e+00,1.041772575726469308e+00,1.041935184182865681e+00,1.005833248412199898e+00,1.016843631121487235e+00,1.029157089451147922e+00,1.048903661238576923e+00,1.049124138666355233e+00
7.166666666666666963e+00,1.004922068088587972e+00,1.014197554241463628e+00,1.024543876884591365e+00,1.041041642760700547e+00,1.041198630611189335e+00,1.005743349613795301e+00,1.016582418530759258e+00,1.028701370899984813e+00,1.048125724286464999e+00,1.048339630516668119e+00
7.250000000000000000e+00,1.004834751483363098e+00,1.013944157920649625e+00,1.024102475472034257e+00,1.040290881207224682e+00,1.040442172157154399e+00,1.005651095294219033e+00,1.016314394787396935e+00,1.028233841362836243e+00,1.047327917152586663e+00,1.047535149701072310e+00
7.333333333333333037e+00,1.004745120717578599e+00,1.013684077116810967e+00,1.023649498165211114e+00,1.039520689253340624e+00,1.039666216239267138e+00,1.005556527687849755e+00,1.016039685145197824e+00,1.027754724870169944e+00,1.046510644620770591e+00,1.046711109426636144e+00
7.416666666666666963e+00,1.004653218967354267e+00,1.013417439551759669e+00,1.023185172717328228e+00,1.038731474291564538e+00,1.038871179208022300e+00,1.005459690089057112e+00,1.015758417938518621e+00,1.027264250827957248e+00,1.045674320654147671e+00,1.045867932159646463e+00
7.500000000000000000e+00,1.004559090546119915e+00,1.013144376246367884e+00,1.022709732625367796e+00,1.037923653466331642e+00,1.038057486797998585e+00,1.005360626927234380e+00,1.015470724794139246e+00,1.026762654374420380e+00,1.044819368953370686e+00,1.045006050178115098e+00
7.583333333333333037e+00,1.004462780797320542e+00,1.012865021203166904e+00,1.022223416564429277e+00,1.037097652672408721e+00,1.037225574230157488e+00,1.005259383659243388e+00,1.015176740312924153e+00,1.026250175811807441e+00,1.043946221934982210e+00,1.044125904522967163e+00
