multiplet,mass_TeV,v_rel,S_tot,S_WW,S_ZZ,sigv_line
"(3,1)",2.0,0.000405651399315671,101.74383614546092,250.87492949243548,57.67161327861568,6.411795784513061e-26
"(3,1)",2.0,0.0007395512514097,101.6371518917954,250.61589516180678,57.60995254348684,6.40565881841178e-26
"(3,1)",2.0,0.001348290809262159,101.28437916401346,249.75935958338295,57.40605519861296,6.385367860064406e-26
"(3,1)",2.0,0.0024580961804548745,100.1316007137833,246.9605446160288,56.739724521288686,6.319085184101345e-26
"(3,1)",2.0,0.004481404746557171,96.50582945709587,238.1591006822612,54.64350283465239,6.110859783050155e-26
"(3,1)",2.0,0.008170139420154312,86.34865022611028,213.51793787961506,48.7667277611335,5.530031503457105e-26
"(3,1)",2.0,0.01489514603563558,65.21828998823099,162.38434505501328,36.50312443900543,4.34317376597113e-26
"(3,1)",2.0,0.027155641294884982,40.28910939641079,103.0368375610834,21.745479104453473,3.1130953045756044e-26
"(3,1)",2.0,0.04950799759681563,17.583042453855565,51.574261062158605,7.5377291097408055,2.9994104953694876e-26
"(3,1)",2.0,0.0902590294013043,4.241268157202744,9.245198462940618,2.762473046839433,1.875399879947191e-27
"(3,1)",2.0,0.16455305776676196,2.465088703843755,4.596154841371484,1.8353017181171167,4.350313920775704e-28
"(3,1)",2.0,0.29999999999999993,1.714638109066994,2.6862075637733427,1.427513374865438,1.172582275720281e-28
"(4,3/2)",1.0,1e-06,88.02710022611289,294.8018988529311,60.86822110751552,3.08934473802565e-25
"(4,3/2)",1.0,1.8231201782055066e-06,88.02710006995876,294.8018983469113,60.86822099731457,3.0893447331799517e-25
"(4,3/2)",1.0,3.3237671841800854e-06,88.02709955093718,294.80189666501155,60.86822063103145,3.089344717073822e-25
"(4,3/2)",1.0,6.059627021136012e-06,88.02709782583237,294.8018910747775,60.868219413592854,3.089344663540914e-25
"(4,3/2)",1.0,1.104742829463239e-05,88.02709209198308,294.80187249413177,60.86821536710873,3.0893444856099093e-25
"(4,3/2)",1.0,2.01407894412228e-05,88.02707303401233,294.80181073642376,60.8682019175439,3.089343894209025e-25
"(4,3/2)",1.0,3.67190796352817e-05,88.02700968981823,294.8016054683846,60.86815721436686,3.0893419285320926e-25
"(4,3/2)",1.0,6.694329500821696e-05,88.02679914920662,294.80092320763646,60.868008631935126,3.08933539510344e-25
"(4,3/2)",1.0,0.00012204567192504444,88.02609936941106,294.79865555844185,60.86751478427329,3.0893136797694103e-25
