multiplet,mass_GeV,S_tot_MW,S_tot_sat,S_WW_MW,sigv_tree_tot,sigv_MW_tot,sigv_sat_tot,sigv_line_MW,sigv_line_sat
"(4,3/2)",1578.3210440416474,169.8726010796273,170.01888875192003,861.6532298371604,1.6254905866302252e-25,2.761263139813256e-23,2.7636410321557746e-23,1.3746979805808278e-24,1.3755425368480912e-24
"(4,3/2)",1688.7351525827733,124.7343144194421,124.78891843628156,682.1011732878019,1.4201742988188973e-25,1.7714446751928704e-23,1.7722201474061474e-23,1.2442474106822715e-24,1.2444268880711151e-24
"(4,3/2)",1806.873466165042,109.20174974317578,109.22316465131597,647.9740955453631,1.2407591231129019e-25,1.3549306725373734e-23,1.355196379963829e-23,1.3930109385804877e-24,1.392792597542074e-24
"(4,3/2)",1933.2763445695211,115.30197299704027,115.30280848633382,748.5601553015211,1.083985288392275e-25,1.2498564245139501e-23,1.2498654810949782e-23,1.9718342926858575e-24,1.971000978610838e-24
"(4,3/2)",2068.52194935641,163.02324882161227,162.98885848713599,1169.1425532461813,9.470014447158633e-26,1.543832521563405e-23,1.5435068445990718e-23,3.9772904543386565e-24,3.974338073752588e-24
"(4,3/2)",2213.228888352219,505.9473961223166,505.82171077401,4030.984189237165,8.27313929893904e-26,4.1857732860554155e-23,4.1847334736610394e-23,1.9103286351825627e-23,1.9085908258946903e-23
"(4,3/2)",2368.0590451364865,1922.4506776294782,1965.7679400379723,16531.98171035511,7.22742232902593e-26,1.389436295395032e-22,1.4207435103513745e-22,1.23013144313035e-22,1.2568653520571706e-22
"(4,3/2)",2533.7206064700063,49.38906352727927,49.53880582483033,365.8846787060637,6.313799227235744e-26,3.118326311324329e-24,3.127780739349953e-24,5.315540608975142e-24,5.3283714825230144e-24
"(4,3/2)",2710.9713015119237,14.254400451825068,14.269644608423146,34.18388216644256,5.51560391224474e-26,7.862162689878953e-25,7.870570762856076e-25,1.6368063727246971e-24,1.6389832239429673e-24
"(4,3/2)",2900.621867641682,12.781355130441488,12.785477236347289,0.08196435828650668,4.8182683158512416e-26,6.158399845864894e-25,6.160385987092944e-25,8.129645095576372e-25,8.138597063549818e-25
"(4,3/2)",3103.5397587384286,17.200992105576073,17.208766483025745,10.945464355403628,4.2090593970889454e-26,7.2399997461227735e-25,7.243272027768879e-25,5.179887744607219e-25,5.186133319811622e-25
"(4,3/2)",3320.6531128793254,25.921379233676642,25.947502278340338,42.34525565316147,3.676848853778757e-26,9.530899352370843e-25,9.540504401053736e-25,3.9371369787545997e-25,3.943628943838243e-25
"(4,3/2)",3552.9549976048797,42.54910521823902,42.63996998974885,104.77326022832995,3.2119115303940285e-26,1.3666396165841064e-24,1.3695581126572966e-24,3.50099662243793e-25,3.5104005530180763e-25
"(4,3/2)",3801.5079521690013,79.46074036664395,79.83058611232264,247.430957382572,2.805748995196611e-26,2.2294689244129005e-24,2.2398458677060576e-24,3.706436453806533e-25,3.7255182372263123e-25
"(4,3/2)",4067.448847549763,186.99876693302986,189.22188447895007,679.5509258610123,2.4509351813318464e-26,4.583218567418372e-24,4.637705737473692e-24,5.040855346136577e-25,5.10316502705836e-25
"(4,3/2)",4351.994086450461,737.3302844279443,773.2765267211264,2992.8851948579127,2.140981360757364e-26,1.5786103956821544e-23,1.6555706304211254e-23,1.1432375105953637e-24,1.1995469232506647e-24
"(4,3/2)",4656.445167075474,15274.313630722034,147479.0903402483,67401.92020751371,1.8702180511577683e-26,2.8566297071221497e-22,2.7581805692265963e-21,1.324989387384233e-23,1.2800122650335343e-22
"(4,3/2)",4982.194636129438,1354.1030183915877,1452.7852369673149,6376.738477262405,1.6336917487397403e-26,2.2121869280899136e-23,2.3734032543244106e-23,6.282208770831064e-25,6.7443442498037265e-25
"(4,3/2)",5330.732458268552,405.14042287595265,411.6011706575539,2007.5879305011701,1.427074638083909e-26,5.78165622348862e-24,5.87385591651042e-24,9.876334726226263e-26,1.0040496608263164e-25
"(4,3/2)",5703.652831137525,233.51769451145634,234.97047815138077,1202.6835611944518,1.2465856577993909e-26,2.91099808820361e-24,2.929108280697764e-24,3.7039362005353733e-26,3.726790848212873e-26
"(4,3/2)",6102.661477163973,188.73523206626896,189.29361926340678,996.5966946428521,1.0889215010034663e-26,2.0551785219383916e-24,2.0612589201868758e-24,3.6995973989166696e-26,3.7039882980531236e-26
"(4,3/2)",6529.5834454625465,204.81523589827876,205.12624099162866,1084.896322755297,9.511963057309551e-27,1.9481949574385687e-24,1.951153226397148e-24,8.143442040742948e-26,8.128760244958796e-26
"(4,3/2)",6986.371459534426,363.44250323287025,363.3587908036344,1820.8310714365584,8.308889450548774e-27,3.0198035809926343e-24,3.019108023672477e-24,3.64895424408888e-25,3.6272060273853496e-25
"(4,3/2)",7475.11484894418,31391.51564231627,61518.90817005978,98458.75317371347,7.257969624739799e-27,2.2783866700647577e-22,4.465023668454509e-22,1.3342029656443876e-22,2.577389750364823e-22
"(4,3/2)",7998.049105827163,51.987085648316786,51.63670854597421,403.85815373612326,6.339963172272842e-27,3.2959620844412243e-25,3.273748305188628e-25,2.8696678113617965e-25,2.9406399001114536e-25
