label,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh,r_Nlo_min,Nlo_min,r_max_rho_hi,max_rho_hi,r_max_ratio_enh,max_ratio_enh
xeno,0.0,5322274578.218075,53455573030.57011,inf,0.0,0.09956444719382915,1003526639.4597473,0.6808606208958976,141.6149414720599,364.4597404775747,244.0,0.997257032674375,144.0,annual,1000.0,350.0,-0.7,nan,0.2975917090966978,1.2605893359012703,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
N_mid-min,0.0,712441508.8040493,47487623756.65262,inf,0.0,0.015002677591427012,1104632697.157061,0.48716675272262316,nan,182.88415805968958,256.5,0.9164071211018899,138.5,annual,1000.0,350.0,-1.0463687159829935,nan,0.26436762929473145,1.3875946520699245,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
vec,0.0,799624572.6617745,47899167303.95163,inf,0.0,0.01669391385423534,1089942777.5529237,0.5098822636913425,nan,177.2361491465704,255.0,0.9320940500392336,138.5,annual,1000.0,350.0,-1.0,nan,0.2666587271291591,1.3691417727241486,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
r=-2,0.0,35249016083.96391,65581038214.27254,inf,0.0,0.5374879240062502,1485912697.6158686,0.5068928979764391,nan,220.83785063687102,261.5,0.6219897721200316,138.5,annual,1000.0,350.0,-2.0,nan,0.365095202241312,1.8665430762289057,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
r=+2,0.0,354604294929.4305,329037154564.212,inf,0.0,1.0777028977140302,898181876.6166147,0.9726987615479806,nan,256.77404328137675,196.0,0.06775388668821562,138.5,annual,1000.0,350.0,2.0,nan,1.8317777479829935,1.128259530780608,nan,-1.0463687159829935,0.015002677591427012,2.0,1.8317777479829935,nan,nan
iso,0.0,4892193.274492535,714066885.6108122,inf,0.0,0.006851169509572982,7741962.902851999,0.7510038603077438,nan,252.4992570110035,228.5,0.3851495046629768,193.0,annual,1000.0,380.0,1.0,nan,1.0,1.0,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
p-only,0.0,1736879.7847328824,688860018.0006896,inf,0.0,0.002521382776393249,16306939.781113734,0.6905664707623914,nan,284.5483531309442,242.5,0.938998904555475,193.0,annual,1000.0,380.0,0.0,nan,0.9646995707011947,2.106305595329907,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
xeno,0.0,476822.4071557604,1032063485.4075114,inf,0.0,0.0004620087949022696,26704912.26510971,0.3921066604678682,nan,360.9454858417488,259.5,0.8481084595980931,193.0,annual,1000.0,380.0,-0.7,nan,1.4453316715907993,3.449372284549711,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
N_mid-min,0.0,-6953.648477650052,1759966062.6475506,inf,0.0,-3.951012820775388e-06,42471583.05051543,0.21627599505338005,nan,198.24316236500627,263.5,0.5912276256700907,193.0,annual,1000.0,380.0,-1.4761024982726278,nan,2.4647075758765613,5.485893381750727,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
vec,0.0,175956.3206112713,1270120839.0189826,inf,0.0,0.00013853510249243423,32271057.27990112,0.30517624620187744,nan,nan,259.5,0.7213122042358678,193.0,annual,1000.0,380.0,-1.0,nan,1.7787141017364534,4.168330136019258,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
r=-2,0.0,209422.8821277009,2457849348.665693,inf,0.0,8.520574389207033e-05,55634315.39921416,0.16200700092747905,nan,208.46468007628536,263.5,0.4939863698298216,193.0,annual,1000.0,380.0,-2.0,nan,3.4420435931057782,7.1860736220680534,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
r=+2,0.0,9641896.789890228,1345741441.8493507,inf,0.0,0.007164746874882666,6576126.645115915,0.46055570039665056,nan,243.99652568335753,268.5,0.13799984786775157,193.0,annual,1000.0,380.0,2.0,nan,1.88461538963287,0.849413350029537,nan,-1.4761024982726278,-3.951012820775388e-06,-2.0,3.4420435931057782,nan,nan
