R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,halo,m,delta,r,rho_lo,rho_hi,rho_248,ratio_enh
5.5602186823395117e+17,8444432270353058.0,117861304108255.16,0.00021197242562169148,4717.594739349288,71.64719866493994,2937413910582.046,0.9998869130895915,83.47072893825656,206.2383397010416,9.5,9.319610336589914e-05,0.5,sunframe,400.0,0.0,-1.35,0.12117062795228702,0.0985581392040279,1.039139242437658,0.8133830852377594
5.378906165048643e+17,8118102271708606.0,117967062620547.48,0.000219314223005191,4559.667796722562,68.81668570337527,2932648415382.2124,0.999883910473447,83.2514001405375,205.90845096849011,9.5,9.60513908657573e-05,0.5,sunframe,400.0,0.0,-1.34,0.1172193891915661,0.09864657673028286,1.0374534013466372,0.8415551165265793
5.2006100411091386e+17,7799418689215476.0,118111124135562.78,0.00022711013362265692,4403.150066661042,66.0345818084302,2927919626983.592,0.9998807642448868,83.0343428550243,205.4863158922131,9.5,9.904597665082798e-05,0.5,sunframe,400.0,0.0,-1.33,0.11333388494551397,0.09876704404530408,1.0357805456498324,0.8714696764589602
5.0253303105209965e+17,7488381522873663.0,118293488653300.98,0.00023539445438172006,4248.1884402356445,63.30341262333461,2923227545386.1816,0.9998774648267753,82.80326465832222,204.81718914623008,9.5,0.00010218911348315433,0.5,sunframe,400.0,0.0,-1.32,0.10951411521413058,0.09891954114909149,1.034120675347243,0.9032583695323316
4.8530669732842144e+17,7184990772683168.0,118514156173761.94,0.00024420465826285496,4094.925981811651,60.62559110785675,2918572170589.981,0.9998740018216532,82.5702762699765,204.41851896199412,9.5,0.00010549083664910074,0.5,sunframe,400.0,0.0,-1.31,0.10576007999741589,0.09910406804164498,1.0324737904388683,0.9370649875082022
4.6838200293987955e+17,6889246438643994.0,118773126696945.81,0.00025358174727347765,3943.5014970598036,58.003410621850264,2913953502594.992,0.9998703639256206,82.3254073032713,203.9162976695896,9.5,0.00010896204479547983,0.5,sunframe,400.0,0.0,-1.3,0.10207177929536997,0.09932062472296468,1.0308398909247094,0.9730468637717764
4.517589478864741e+17,6601148520756140.0,119070400222852.61,0.0002635706515165134,3794.0491259033342,55.43903865613457,2909371541401.2153,0.9998665388314937,82.07644309450603,203.31053565151615,9.5,0.00011261459068096706,0.5,sunframe,400.0,0.0,-1.29,0.09844921310799283,0.09956921119305061,1.0292189768047662,1.0113764046425562
4.354375321682047e+17,6320697019019603.0,119405976751482.28,0.00027422068133841314,3646.697962820351,52.93451124456497,2904826287008.6484,0.9998625131196669,81.81534167701824,202.8638669201067,9.5,0.00011646138325755588,0.5,sunframe,400.0,0.0,-1.28,0.0948923814352844,0.09984982745190271,1.027611048079038,1.0522428243620299
4.194177557850714e+17,6047891933434385.0,119779856282834.8,0.0002855860407212121,3501.571706637426,50.49172808450836,2900317739417.292,0.9998582721348578,81.5500923316446,202.17845735482956,9.5,0.00012051650272799213,0.5,sunframe,400.0,0.0,-1.27,0.0914012842772447,0.10016247349952095,1.026016104747525,1.0958541150877184
4.036996187370744e+17,5782733264000485.0,120192038816910.16,0.00029772641151586034,3358.78834164744,48.11244838611471,2895845898627.1465,0.9998537998466303,81.26979553725164,201.7704251421893,9.5,0.00012479533049906543,0.5,sunframe,400.0,0.0,-1.26,0.08797592163387374,0.10050714933590535,1.0244341468102274,1.1424392887201837
