halo,delta,target,r,R_lo,R_mid,R_hi,R_hi_over_lo,N_lo,N_mid,dRdE_248,pct_248_in_1_300,node1,node2,peak_accepted,f248_over_fpeak,onset,R_hi_over_natural,dRdE248_over_natural,R_lo_over_natural,R_mid_over_natural
sunframe,0.0,pure 129Xe,-0.7,2875427342437960.5,1323671640911129.8,107485892417278.28,0.037380841042620565,26.7516720359456,12.314840684137545,1478946924407.4165,0.9942111375501479,142.4874291020989,371.79270991737513,30.0,0.02089490944550322,0.5,0.8871593353929637,0.8901220071388763,1.3983247898443563,0.9364281273732227
sunframe,0.0,pure 129Xe,-1.0,3.482785750145856e+16,545426679277001.56,59352491268839.01,0.0017041671675139185,586.7968935575874,9.189617278345976,1229869007554.5564,0.9993446871746516,72.26880558814052,185.35385747089666,9.5,0.0005871921303670163,0.5,0.6817560231303859,0.7166764564305648,0.8429664538071648,0.7381541901823212
sunframe,0.0,pure 131Xe,1.0,1.8854630794674184e+18,6.421858822960796e+16,750689259471532.9,0.0003981458282829797,2511.642541408863,85.54616629897741,1924395451609.7407,0.9999944236271346,101.93353454916422,268.4062431724314,10.0,2.0595038191570673e-05,0.5,1.0910971734055306,1.1085022631188097,0.9991855096752881,1.0122141651387937
sunframe,0.0,pure 131Xe,0.0,3.4568401856375904e+17,1.5144573787637502e+16,299430725693806.44,0.0008661977691010281,1154.4707636892633,50.57788826629678,1763508405490.323,0.9999536303170053,107.85455039531226,293.3311557371877,10.0,0.00010742737458850953,0.5,1.0784650246911847,1.0931762375124392,1.0039316328642491,1.0115596289464557
sunframe,0.0,pure 131Xe,-0.7,2068896381871072.8,1385039241009200.0,124052270510046.5,0.0599606010223943,16.677618018313666,11.164964859688169,1696641549238.6353,0.9920166483009556,142.49963078385895,367.4567094930261,40.5,0.02948714584344442,0.5,1.0238937165114876,1.0211441372776915,1.0061075290244568,0.9798424795925303
sunframe,0.0,pure 131Xe,-1.0,3.9905328165433464e+16,679425837685563.8,84310878404565.03,0.0021127724612373007,473.3117353367864,8.058578567113779,1679518966147.2166,0.9992456390659872,69.17962964600243,181.82893181252663,9.0,0.0006810691164320663,0.5,0.9684420643334208,0.9786991084194132,0.9658605319094882,0.9195021953647944
sunframe,0.0,pure 132Xe,1.0,1.8915024023230676e+18,6.172874164827294e+16,580530429591421.0,0.00030691498402457047,3258.2312759286583,106.331621051661,1018458080297.9324,0.9999971979027922,101.67146459655838,263.3018721363362,10.0,1.0798031148948794e-05,0.5,0.8437780383976812,0.5866585716348104,1.002385998696436,0.9729691731804103
sunframe,0.0,pure 132Xe,0.0,3.426471673246796e+17,1.4634414786009924e+16,244139501460131.44,0.0007125099073963568,1403.4892562465345,59.9428388215979,1345613169781.4446,0.9999656921406405,108.25497253042747,289.6087628279386,10.0,8.23447099735435e-05,0.5,0.8793216289350906,0.8341283418379138,0.9951120437033677,0.9774843054922333
sunframe,0.0,pure 132Xe,-0.7,1712095748051193.8,1445061828527846.2,114808734471778.14,0.06705742631652468,14.912591415002966,12.586688941189104,1608040200268.0732,0.9916614969818306,146.2700961454817,368.97115679914475,44.5,0.03054249307516249,0.5,0.9476000829567195,0.9678183489891844,0.832594825733718,1.0223053060919272
sunframe,0.0,pure 132Xe,-1.0,4.2974441439305336e+16,778198589464608.0,86139972830605.53,0.0020044465953621467,498.8908172030038,9.034116959787502,1728933751446.7554,0.9992824858592216,68.35328709373997,182.94069307291892,9.0,0.0006468138190423023,0.5,0.9894520693925011,1.0074943809290993,1.0401447319266703,1.053176478951703
