m_A_GeV,eps,tau_s,Y_FI,mY_GeV,excluded,reason,T_dec,drho_over_rhog,xi,xi_max,mu
1.3471511798048221,2.5118864315095823e-14,87152.18743725377,9.715812565034713e-14,1.308866835974903e-13,False,BBN envelope,3.889259369040911e-06,8.78963542160913e-08,1.308866835974903e-13,3.8867137975505295e-12,
1.3471511798048221,3.9810717055349693e-14,34695.910748193266,2.4405017753200905e-13,3.287724845938223e-13,False,BBN envelope,6.1642313422359255e-06,1.3930247727129107e-07,3.287724845938223e-13,1.547328632694072e-11,
1.3471511798048221,6.309573444801943e-14,13812.690857739826,6.130263295501608e-13,8.258391431049187e-13,False,BBN envelope,9.77009322523059e-06,2.207694941591818e-07,8.258391431049187e-13,6.160026238782506e-11,
1.3471511798048221,1e-13,5498.931275104979,1.5398525193551642e-12,2.0744141381747373e-12,False,BBN envelope,1.5486091393431333e-05,3.498613392700116e-07,2.0744141381747373e-12,1.8185351843316295e-10,
1.3471511798048221,1.584893192461111e-13,2189.1639710001855,3.867934649894066e-12,5.210692727012743e-12,False,BBN envelope,2.454968502390901e-05,5.54360353869046e-07,5.210692727012743e-12,4.5679538547453783e-10,
1.3471511798048221,2.511886431509582e-13,871.5218743725377,9.715812565034713e-12,1.3088668359749028e-11,False,BBN envelope,3.892706975847053e-05,8.786380935001687e-07,1.3088668359749028e-11,1.1474181307496855e-09,
1.3471511798048221,3.981071705534969e-13,346.9591074819326,2.4405017753200905e-11,3.287724845938223e-11,False,BBN envelope,6.141776113183311e-05,1.4307803261470641e-06,3.287724845938223e-11,2.882184033898211e-09,
1.3471511798048221,6.309573444801942e-13,138.1269085773983,6.130263295501604e-11,8.258391431049183e-11,False,BBN envelope,9.377782006603147e-05,2.7112227606095283e-06,8.258391431049183e-11,7.239718967862499e-09,
1.3471511798048221,1e-12,54.98931275104979,1.5398525193551641e-10,2.0744141381747372e-10,False,BBN envelope,0.0001382017023309582,5.9691779097967156e-06,2.0744141381747372e-10,2.4523506164569985e-08,
1.3471511798048221,1.584893192461111e-12,21.891639710001854,3.867934649894067e-10,5.210692727012744e-10,False,BBN envelope,0.00020362478306700971,1.3028731101762377e-05,5.210692727012744e-10,9.762983651228156e-08,
