n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O9s_m21,elastic,9,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m30,elastic,9,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m40,elastic,9,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m50,elastic,9,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O9s_m100,elastic,9,s,100,0.0,1.2661978006362915,0.7489318207517499,0.0824,1.3891077087785697,1.125254511833191
0,O9s_m200,elastic,9,s,200,0.0,5.071412563323975,0.9699736514157848,0.009706666666666667,2.337497450798096,2.2519795894622803
0,O9s_m400,elastic,9,s,400,0.0,6.193886756896973,0.9830931538454024,0.006033333333333333,2.5101886851686612,2.4887521266937256
0,O9s_m1000,elastic,9,s,1000,0.0,6.672919750213623,0.9867426428099861,0.004846666666666667,2.5865811814923556,2.5831995010375977
0,O9s_m4000,elastic,9,s,4000,0.0,6.867056369781494,0.9879839513014304,0.004433333333333333,2.6171526980931636,2.620507001876831
0,O9v_m10,elastic,9,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m12,elastic,9,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m14,elastic,9,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m17,elastic,9,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m21,elastic,9,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m30,elastic,9,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m40,elastic,9,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m50,elastic,9,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O9v_m100,elastic,9,v,100,0.0,1.2174932956695557,0.7405869191716192,0.08747333333333333,1.3564794588732252,1.1034008264541626
0,O9v_m200,elastic,9,v,200,0.0,5.095176696777344,0.9703391537623247,0.009566666666666666,2.3429229618121674,2.2572498321533203
0,O9v_m400,elastic,9,v,400,0.0,6.245268821716309,0.983529157252633,0.005973333333333333,2.5137157889820223,2.499053478240967
0,O9v_m1000,elastic,9,v,1000,0.0,6.735962390899658,0.9871593662101077,0.004666666666666667,2.5995968648474412,2.5953731536865234
0,O9v_m4000,elastic,9,v,4000,0.0,6.934566974639893,0.9883874751249095,0.00426,2.630736764335337,2.6333565711975098
0,O10s_m10,elastic,10,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m12,elastic,10,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m14,elastic,10,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m17,elastic,10,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m21,elastic,10,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m30,elastic,10,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m40,elastic,10,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m50,elastic,10,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O10s_m100,elastic,10,s,100,0.0,0.5642562508583069,0.5760782396682771,0.13394,1.1079578957942486,0.7511699199676514
0,O10s_m200,elastic,10,s,200,0.0,4.063915729522705,0.949269470947911,0.016753333333333332,2.125959082544404,2.015915632247925
0,O10s_m400,elastic,10,s,400,0.0,5.237975120544434,0.9724410711642122,0.009326666666666667,2.3523874606532424,2.2886621952056885
0,O10s_m1000,elastic,10,s,1000,0.0,5.764369964599609,0.9789560272620292,0.00696,2.4593212414917915,2.4009101390838623
