config,model,cls,Z_LZ,q0,Z,s_hat,frac_top,frac_mid,frac_bot,f_in_roi,b_event_cell,s_event_cell_per_unit,LR_event_per_unit,diff
base,O1s_1000_d300_helm,check: Helm form factor,3.0,6.2035127598683175,2.490685198869644,1.0135332592906598,0.04525215143795329,0.9059575781895112,0.04879498295470499,0.9123296941704768,1.1585390509605713e-05,0.0006172909845665453,53.28184527355683,-0.5093148011303561
base,O1s_1000_d350_helm,check: Helm form factor,3.3,9.07280886380613,3.0121103671356617,0.9980314459451878,3.8554263530081997e-07,0.7927216641116885,0.20728898467340104,0.5593037113435664,1.1585390509605713e-05,0.0026943032366587767,232.56041601919833,-0.2878896328643381
fig5only,L10_100,L10 (m scan),2.9,6.168632815686578,2.4836732505880437,1.7192572062171652,0.6983993571853597,0.28374149452034464,0.017866798738002277,0.9934767555950459,1.1585390509605713e-05,0.0003547411307222608,30.619695592318344,-0.41632674941195624
fig5only,L10_200,L10 (m scan),3.1,8.889779798833843,2.981573376396067,1.3074605664967398,0.38174051576208895,0.5208267196396571,0.0974630070002184,0.9518472019576872,1.1585390509605713e-05,0.0018754959106416858,161.88456565936806,-0.1184266236039333
fig5only,L10_400,L10 (m scan),3.4,9.476262052250604,3.0783537893248405,1.2122229600541656,0.2831480572550342,0.5739791513922425,0.14291469279642338,0.9171765260127186,1.1585390509605713e-05,0.002718174810404395,234.62090536790225,-0.3216462106751594
fig5only,L10_1000,L10 (m scan),3.4,9.714412179208011,3.116795177615624,1.176550508979346,0.24247008939030637,0.5905982004853049,0.16697961533724265,0.8963479614343629,1.1585390509605713e-05,0.0031565997487477127,272.4638195087601,-0.2832048223843757
fig5only,L10_4000,L10 (m scan),3.4,9.810922833157747,3.1322392681846236,1.1628798221788172,0.22625847697983642,0.5960215739154918,0.17777049795376199,0.8865798870490088,1.1585390509605713e-05,0.0033522872496861756,289.3547046952554,-0.2677607318153763
fig5only,O1s_1000,elastic operators,0.0,0.0,0.0,0.0,0.9964871274174968,0.0034643557363855802,4.85677476836311e-05,0.9340355020671485,1.1585390509605713e-05,9.039188806204562e-07,0.07802230575404397,0.0
fig5only,O1v_1000,elastic operators,1.3,1.9226997621353803,1.3866144965834521,2.0916940031153155,0.9947206606346287,0.003872659412028906,0.0014070138435014984,0.9108729308802536,1.1585390509605713e-05,2.5476095835478826e-05,2.198984644872869,0.0866144965834521
fig5only,O4s_1000,elastic operators,2.7,5.569563824010402,2.3599923355829784,2.163194824940086,0.90743289483568,0.08173360037365017,0.01083700178983726,0.9467391245962326,1.1585390509605713e-05,0.0002039897240839707,17.60749660659588,-0.3400076644170218
fig5only,O4v_1000,elastic operators,2.7,5.496826482049073,2.3445311859834734,2.1677425447433007,0.9097893706657109,0.07974251489866174,0.01047149285840323,0.9471698794449066,1.1585390509605713e-05,0.00019592742840709198,16.91159467129261,-0.35546881401652675
fig5only,O6s_1000,elastic operators,3.1,9.283329182058878,3.0468556221224,1.362198353747287,0.4311112703125554,0.44742655498516704,0.12149713499617229,0.9301452392194794,1.1585390509605713e-05,0.0021938651206861526,189.36479688510877,-0.05314437787759996
fig5only,O6v_1000,elastic operators,3.3,9.228064454011474,3.0377729431297977,1.371433840767713,0.4393472551445814,0.4431532308116217,0.11753345034568424,0.9315088876588209,1.1585390509605713e-05,0.0021191116421588416,182.9124051020842,-0.2622270568702021
fig5only,O10s_1000,elastic operators,3.0,7.9954652130181785,2.827625366454718,1.7167962133188508,0.6881528071674923,0.26262093303110784,0.04924113297059072,0.9715813762247067,1.1585390509605713e-05,0.0009024831563735975,77.8983803459476,-0.17237463354528204
fig5only,O10v_1000,elastic operators,3.1,7.927870539278956,2.8156474458424223,1.7241825812001588,0.6926087462900823,0.2599687399178171,0.04743690080842275,0.9723338387570203,1.1585390509605713e-05,0.0008682124707715057,74.94028535780912,-0.28435255415757776
fig5only,O11s_1000,elastic operators,1.7,0.5030056949453865,0.7092289439563126,1.3883877051256044,0.9731821735529309,0.026289899271474963,0.0005283988013030861,0.9863340820336144,1.1585390509605713e-05,9.912017813534874e-06,0.855561822047914,-0.9907710560436873
fig5only,O11v_1000,elastic operators,2.6,6.683968453107809,2.5853372029791024,2.297454810834707,0.948276298548039,0.032600982266864115,0.019127291163349682,0.9672843685113277,1.1585390509605713e-05,0.00034006998842077435,29.35334705712462,-0.014662797020897678
fig5only,O4s_200,elastic operators,2.3,3.505283846570819,1.8722403282086462,2.2007301229589924,0.9543067189942047,0.04227921087987175,0.003415304640203748,0.9409031199741622,1.1585390509605713e-05,6.534835464469134e-05,5.640582817688323,-0.42775967179135366
fig5only,O6s_200,elastic operators,2.2,8.218894422752783,2.866861423709347,1.5531155631394533,0.5836309780627539,0.35582847384754085,0.06055921758600702,0.9706042611151641,1.1585390509605713e-05,0.0011213699500310867,96.7917265370842,0.6668614237093466
fig5only,O10s_200,elastic operators,2.8,6.485039268703986,2.546574025765594,1.9384588467015373,0.809266753181763,0.1711144241874334,0.019625301974419033,0.9879456662354109,1.1585390509605713e-05,0.00036770088381720854,31.738324531429416,-0.2534259742344056
fig5only,O11s_200,elastic operators,1.1,0.0,0.0,0.0,0.9867775350124665,0.01305238612255675,0.00017026806911634956,0.9848133488334997,1.1585390509605713e-05,3.153564064271759e-06,0.2722017925642702,-1.1
fig5only,O1v_200,elastic operators,0.0,0.21575726307310106,0.46449678478230727,1.046052526114416,0.9976896443967713,0.001927978968340896,0.00038246656332660556,0.906490417671123,1.1585390509605713e-05,7.123805471294335e-06,0.6148955846924473,0.46449678478230727
fig5only,O4s_4000,elastic operators,2.7,5.839210315987657,2.4164458024105686,2.1446019867485964,0.8981791584225174,0.08920502824818478,0.012619833229598375,0.9472685607814276,1.1585390509605713e-05,0.00023696316096433247,20.453618785474767,-0.28355419758943157
fig5only,O6s_4000,elastic operators,2.6,9.407881079421713,3.06722693640717,1.3391195199981243,0.41012240077817713,0.4578208580822174,0.13209447492447268,0.9225635959684495,1.1585390509605713e-05,0.0023765043406808383,205.1294117975932,0.4672269364071697
fig5only,O10s_4000,elastic operators,3.1,8.177394273801838,2.85961435753177,1.6839204575246547,0.6682757734532614,0.27647204709483464,0.05526871122053113,0.9678196528050272,1.1585390509605713e-05,0.0010096735632071205,87.15058524526877,-0.24038564246823002
fig5only,O11s_4000,elastic operators,1.8,0.6825845550374652,0.8261867555446923,1.5259103680110708,0.9704557762622138,0.02892923136450806,0.0006155262819819405,0.9865326370716861,1.1585390509605713e-05,1.156369913184746e-05,0.9981276955886581,-0.9738132444553077
fig5only,O1v_4000,elastic operators,1.2,2.2150781298132642,1.4883138546063677,2.1504359131000426,0.9940517690039143,0.0042708036680941495,0.0016778261361991096,0.9114392063613727,1.1585390509605713e-05,3.025883035039581e-05,2.611809271798609,0.2883138546063677
fig5only,O1s_400_d100,inelastic O1 (s/v),0.8,0.0,0.0,0.0,0.9862515240916387,0.013579950064814113,0.0001687151862154164,0.9993515235085614,1.1585390509605713e-05,3.1212276441071088e-06,0.26941065486909804,-0.8
fig5only,O1v_400_d100,inelastic O1 (s/v),2.6,4.68475549444338,2.164429600251156,2.32137143530206,0.9728474525526335,0.02068721059697707,0.006466865451303111,0.993584154661681,1.1585390509605713e-05,0.00011824467956100397,10.206361146218127,-0.43557039974884404
fig5only,O1s_400_d150,inelastic O1 (s/v),2.2,0.85888381237055,0.9267598461147041,1.5886207055207335,0.9437050103888115,0.05555278288045175,0.0007430196327353636,0.999187249951861,1.1585390509605713e-05,1.3752317144031333e-05,1.1870395851248148,-1.273240153885296
