model,delta_keV,C,Gamma_A_lo,Gamma_A_hi,Gamma_A_eq,limit_used,Gamma_lim_central,Gamma_lim_lo,Gamma_lim_hi,ratio_lo,ratio_hi,status,channel,status_U1B,ratio_hi_U1B
Z',260.0,1.6484781356061003e+20,8.025261715704128e+16,8.242390678030501e+19,8.242390678030501e+19,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0008899098673231902,0.9139869894035548,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.0324049932606715
Z',270.0,2.15587148336076e+20,1.2234070619002523e+17,1.07793574168038e+20,1.07793574168038e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0013566187056647087,1.1953076258990847,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.04237908855460392
Z',280.0,2.815029224815649e+20,1.76924247226381e+17,1.4075146124078245e+20,1.4075146124078245e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.00196188783560026,1.5607729521546203,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.0553364955763911
Z',290.0,3.859534469432614e+20,2.8449679241491117e+17,1.929767234716307e+20,1.929767234716307e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.0031547445025549964,2.1398914635400805,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.0758688791618756
Z',300.0,5.2545073966243375e+20,4.545649486500913e+17,2.6272536983121687e+20,2.6272536983121687e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.005040606119441467,2.913324291361391,marginal,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.10329058851190388
Z',310.0,8.166391087168723e+20,9.529054455759788e+17,4.083195543584362e+20,4.083195543584362e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.010566633072970904,4.5277975138621205,excluded if thermalised,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.16053100276420249
Z',320.0,1.2601252427829637e+21,1.8969242108585846e+18,6.300626213914819e+20,6.300626213914819e+20,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.021034723011013962,6.986674873301623,excluded if thermalised,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",unconstrained,0.24770938187160305
Z',330.0,2.464601895836193e+21,6.122613683297314e+18,1.2323009479180964e+21,1.2323009479180964e+21,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.06789279307754276,13.664810094829622,excluded if thermalised,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",marginal,0.4844796306348686
Z',340.0,4.766308444173809e+21,1.947868741417677e+19,2.3831542220869043e+21,2.3831542220869043e+21,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,0.21599639670890222,26.426458509608636,excluded if thermalised,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",marginal,0.9369380744315792
Z',350.0,1.2246792310891206e+22,1.0587947337696559e+20,6.123396155445603e+21,6.123396155445603e+21,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,1.1740824342309646,67.9014698000016,excluded if thermalised,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",marginal,2.407415747454603
Z',360.0,4.2549455617707615e+22,1.0473740750333462e+21,2.1274727808853808e+22,2.1274727808853808e+22,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,11.614182280520124,235.91243341841533,excluded,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",excluded if thermalised,8.364168093925636
Z',365.0,9.473512923277584e+22,4.5380842561168694e+21,4.736756461638792e+22,4.736756461638792e+22,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,50.32217142974619,525.2521928438313,excluded,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",excluded if thermalised,18.622577746281294
Z',366.0,1.1113921076042601e+23,5.989814617140802e+21,5.556960538021301e+22,5.556960538021301e+22,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,66.42020310439922,616.2034573195042,excluded,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",excluded if thermalised,21.847213486782426
Z',370.0,2.3150724653107327e+23,2.2745726963895427e+22,1.1575362326553664e+23,1.1575362326553664e+23,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,252.2241340117306,1283.575479175189,excluded,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",excluded,45.50858517075671
Z',380.0,2.568659554222703e+24,1.0179541745102374e+24,1.2843297771113514e+24,1.2843297771113514e+24,Z'Z' B-L (nu nu + tau tau),9.018061278322223e+19,3.006020426107407e+19,3.006020426107407e+20,11287.94918434646,14241.75038817541,excluded,"chi1 chi1 -> Z'Z' -> 4f; B-L: nu nu 23%, tau tau 15%; U(1)_B: quarks only (b bbar-like)",excluded,504.9347864898555
