drift_us,survival_tau566us,logS2c_70keV_ER
7.905037593984962996e+02,2.473150793364279343e-01,4.019560162300138018e+00
7.927393483709273596e+02,2.463398517353783956e-01,4.017844240954857149e+00
7.949749373433584196e+02,2.453684697100874945e-01,4.016128319609576280e+00
7.972105263157894797e+02,2.444009180964511474e-01,4.014412398264295412e+00
7.994461152882205397e+02,2.434371817901611335e-01,4.012696476919014543e+00
8.016817042606517134e+02,2.424772457464695052e-01,4.010980555573734563e+00
8.039172932330827734e+02,2.415210949799536932e-01,4.009264634228453694e+00
8.061528822055138335e+02,2.405687145642825819e-01,4.007548712883172826e+00
8.083884711779448935e+02,2.396200896319833629e-01,4.005832791537891957e+00
8.106240601503759535e+02,2.386752053742095259e-01,4.004116870192611088e+00
8.128596491228070136e+02,2.377340470405097661e-01,4.002400948847331108e+00
8.150952380952380736e+02,2.367965999385975850e-01,4.000685027502050239e+00
8.173308270676692473e+02,2.358628494341219461e-01,3.998969106156769371e+00
8.195664160401003073e+02,2.349327809504390407e-01,3.997253184811488502e+00
8.218020050125313674e+02,2.340063799683843593e-01,3.995537263466207634e+00
8.240375939849624274e+02,2.330836320260462891e-01,3.993821342120926765e+00
8.262731829573934874e+02,2.321645227185403781e-01,3.992105420775646341e+00
8.285087719298245474e+02,2.312490376977842377e-01,3.990389499430365916e+00
8.307443609022557212e+02,2.303371626722737209e-01,3.988673578085085047e+00
8.329799498746867812e+02,2.294288834068599348e-01,3.986957656739804179e+00
8.352155388471178412e+02,2.285241857225267514e-01,3.985241735394523310e+00
8.374511278195489012e+02,2.276230554961695685e-01,3.983525814049242886e+00
8.396867167919799613e+02,2.267254786603749017e-01,3.981809892703962017e+00
8.419223057644110213e+02,2.258314412032007279e-01,3.980093971358681593e+00
8.441578947368420813e+02,2.249409291679577150e-01,3.978378050013400724e+00
8.463934837092732550e+02,2.240539286529914520e-01,3.976662128668119855e+00
8.486290726817043151e+02,2.231704258114653727e-01,3.974946207322838987e+00
8.508646616541353751e+02,2.222904068511444842e-01,3.973230285977558562e+00
8.531002506265664351e+02,2.214138580341802054e-01,3.971514364632277694e+00
8.553358395989974952e+02,2.205407656768959002e-01,3.969798443286997269e+00
8.575714285714285552e+02,2.196711161495731590e-01,3.968082521941716401e+00
8.598070175438597289e+02,2.188048958762391083e-01,3.966366600596435532e+00
8.620426065162907889e+02,2.179420913344545241e-01,3.964650679251154664e+00
8.642781954887218490e+02,2.170826890551026400e-01,3.962934757905874239e+00
8.665137844611529090e+02,2.162266756221788155e-01,3.961218836560593370e+00
8.687493734335839690e+02,2.153740376725813976e-01,3.959502915215312946e+00
8.709849624060150290e+02,2.145247618959027491e-01,3.957786993870032077e+00
8.732205513784462028e+02,2.136788350342216369e-01,3.956071072524751209e+00
8.754561403508772628e+02,2.128362438818964253e-01,3.954355151179470340e+00
8.776917293233083228e+02,2.119969752853585465e-01,3.952639229834189916e+00
8.799273182957393828e+02,2.111610161429074706e-01,3.950923308488909491e+00
8.821629072681704429e+02,2.103283534045060632e-01,3.949207387143628623e+00
8.843984962406015029e+02,2.094989740715768600e-01,3.947491465798347754e+00
8.866340852130325629e+02,2.086728651967991455e-01,3.945775544453066885e+00
8.888696741854637366e+02,2.078500138839069478e-01,3.944059623107786017e+00
