sample,r2,r,z,d_true_wall,d_reco_wall,d_edge47_mean
science,2639.3179193036694,51.37429239710917,87.59859984289055,21.425707602890824,17.94331415199875,11.718396653809037
science,1038.4877566678767,32.2255761262367,116.6660278661829,40.574423873763294,37.50749641230914,30.587144591853217
science,2931.227648632076,54.14081315082067,97.24330405797176,18.659186849179328,15.269152545557723,8.86556058752975
science,85.96432526123112,9.271694842974025,26.941879496574074,63.52830515702597,59.56384351483875,50.766148340070245
science,691.7192163864324,26.300555438743732,33.8410492869165,46.49944456125627,42.62788042087654,34.395251938056035
science,2940.379688123182,54.22526798572029,37.480014328890036,18.574732014279704,14.727798787180006,6.745721045349541
science,421.0403205212442,20.519267056141263,94.61847166529134,52.28073294385874,48.86536887777321,42.53059099003701
science,3916.9108671999684,62.585228825977524,94.60779203849171,10.214771174022474,6.79930517176885,0.4647691049910634
science,221.9484898919742,14.897935759425673,127.05697427583297,57.902064240574326,55.332542666518414,48.57585496433409
science,3163.3592327954902,56.24374838855862,126.74204716517586,16.556251611441375,13.964588305676124,7.19167873459687
science,2702.6554300601447,51.98706983529794,41.72661872509563,20.81293016470206,16.984859158339297,9.315318015366792
science,2319.923233301979,48.16558141766773,53.352426430953656,24.634418582332266,20.85038823865927,13.850720331784025
science,1218.2536353075132,34.90349030265474,31.693475804622622,37.89650969734526,34.0036828713469,25.609414521257342
science,2232.8658726515287,47.2532101835582,74.96838370674939,25.546789816441795,21.936657592530445,15.655348623368702
science,3470.386635220172,58.90998756764571,67.97623834191603,13.89001243235429,10.211197152937423,3.7674562465698145
science,3712.050750945902,60.9266013408421,42.04153683790541,11.8733986591579,8.046478160510404,0.39833795726659815
science,3450.4435134696723,58.74047593839934,26.6755170399244,14.059524061600655,10.089977970373866,1.2656349450056794
science,145.03378242254996,12.042997235844155,86.29868247448373,60.75700276415584,57.26190718355062,51.046502532557525
science,1715.3759956030187,41.41709786553156,30.515641228846903,31.382902134468438,27.476029181692823,18.988190719547063
science,3847.6393587741086,62.02934272402142,127.49121366012835,10.770657275978579,8.231665978991018,1.4980770568876594
