E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.840923287500833309e-04,4.095186003026744445e-03,7.418462994602712489e-04,5.516419230080100641e-03,7.365914619441629166e-04,5.846945727837501950e-04
2.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.720007198326214239e-04,3.991922596673273468e-03,7.558040565736721820e-04,5.343474430054267338e-03,7.481790757720620938e-04,5.816215236579925585e-04
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.606763886993472466e-04,3.898280139638497441e-03,7.708069864661007192e-04,5.179031861116868522e-03,7.607865776578437086e-04,5.802112058313107276e-04
3.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.490963061081816022e-04,3.807786898162396957e-03,7.857006846279406724e-04,5.017227456095825142e-03,7.732715164810020263e-04,5.775153695553027168e-04
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.373012777120666160e-04,3.720333389559709290e-03,8.004816714540431049e-04,4.862420913767065596e-03,7.856344420015162321e-04,5.737260074046417755e-04
3.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.253083625916374712e-04,3.633431175923257633e-03,8.144422293147574694e-04,4.710196631994280521e-03,7.972335815594271905e-04,5.715219560353950205e-04
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.122197480467461836e-04,3.548319872712700149e-03,8.283386770294446288e-04,4.561102268941393499e-03,8.086747501687565438e-04,5.693265428751440255e-04
3.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000265765140964762e-04,3.469451509782292033e-03,8.427292922762931893e-04,4.415999293006721629e-03,8.206465970024320444e-04,5.651343974287634155e-04
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.877707164943915324e-04,3.393215957976364241e-03,8.569950542817069946e-04,4.277135014248559415e-03,8.324992467544047774e-04,5.609730677358629094e-04
3.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.754870353300270587e-04,3.319520143403875429e-03,8.711334158134674890e-04,4.142521295246713933e-03,8.442335564174450026e-04,5.574153593109034202e-04
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.632091190036967159e-04,3.248273991409996939e-03,8.851419943837982723e-04,4.011623210048159173e-03,8.558504161526658350e-04,5.547034792762456758e-04
3.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.500281447933560563e-04,3.173975840905021717e-03,8.974887785398938996e-04,3.881174271210192581e-03,8.658745163319444150e-04,5.497179054816961558e-04
3.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.378717368244235108e-04,3.107447491757915799e-03,9.111972205993187435e-04,3.757516225538603226e-03,8.772296035898523477e-04,5.446314079603490526e-04
3.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.258140723224985665e-04,3.043113453139316069e-03,9.247695580993157667e-04,3.636141141786257067e-03,8.884699543121176313e-04,5.413198870010618594e-04
