E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.936427349758852506e+04,5.080416816772473335e+09,4.798760388434438501e+05,4.656341853333519000e+15,1.979229813215350034e+06,6.941177349138028148e-03
3.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.727794107374851592e+04,4.982992834521439552e+09,4.860341170921658631e+05,4.503508023643963500e+15,2.001395451990559930e+06,6.886301616503338018e-03
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.524286522031811182e+04,4.888699370609312057e+09,4.921213902033118648e+05,4.355046516518866000e+15,2.023333499928289093e+06,6.833508705205758663e-03
3.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.326265173753329145e+04,4.797421540000476837e+09,4.981374147450336604e+05,4.210847841020633000e+15,2.045045816489092540e+06,6.764963152362471303e-03
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.134065983026934555e+04,4.709048360717845917e+09,5.040817980648252415e+05,4.070804921396500500e+15,2.066534214519243920e+06,6.691402351075670211e-03
4.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.948000563520763535e+04,4.623472638272756577e+09,5.099541963958134293e+05,3.934665115687336000e+15,2.087800456320026889e+06,6.630388691604537608e-03
4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.768356612883479102e+04,4.540590853030673981e+09,5.157543130278868484e+05,3.802327401599302500e+15,2.108846250353212003e+06,6.579547852475547444e-03
4.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.595398338366506505e+04,4.460303050450533867e+09,5.214818965406804346e+05,3.671037442842111000e+15,2.129673248538342305e+06,6.513975995841215887e-03
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.429366914104096941e+04,4.382512734134467125e+09,5.271367390959342010e+05,3.546694119627712500e+15,2.150283044100452214e+06,6.433284531242135403e-03
4.250000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.270480967098228575e+04,4.307126761627337456e+09,5.327186747863108758e+05,3.426003598889921500e+15,2.170677169927153736e+06,6.383947858914399733e-03
