isotope,E_star_keV,E_NR_keV,S1c,log10S2c,in_ROI,offset_from_NR_median_dex
129,39.58,84.0,385.38605966395403,4.496040376450847,False,0.5116047135994606
129,39.58,86.0,389.4278674766218,4.496862677804201,False,0.5111055867970795
129,39.58,88.0,393.4817979996652,4.4976735928423395,False,0.5106056428730663
129,39.58,90.0,397.547659051215,4.498473140832822,False,0.510104809380798
129,39.58,92.0,401.6252546216098,4.499261393566754,False,0.5096034515795496
129,39.58,94.0,405.71438711703047,4.500038462903154,False,0.5091024316657924
129,39.58,96.0,409.81485904443747,4.500804491057351,False,0.5086004862652067
129,39.58,98.0,413.92647427324107,4.501559642993154,False,0.5080976941135038
129,39.58,100.0,418.04903897437566,4.5023041004402895,False,0.5075941498479155
129,39.58,102.0,422.18236231228053,4.503038057176093,False,0.5070899592270992
129,39.58,104.0,426.32625694685726,4.503761715296727,False,0.5065852353991716
129,39.58,106.0,430.4805393888597,4.504475282267218,False,0.5060800959899288
129,39.58,108.0,434.64503024201144,4.505178968587508,False,0.5055746608356171
129,39.58,110.0,438.8195543575126,4.505872985947885,False,0.5050690502241073
129,39.58,112.0,443.00394092081245,4.50655754577471,False,0.5045633835383052
129,39.58,114.0,447.1980234861152,4.507232858088433,False,0.5040577782185611
129,39.58,116.0,451.4016399706948,4.507899130612212,False,0.5035534506229054
129,39.58,118.0,455.61463261848854,4.508556568082068,False,0.5030493764329043
129,39.58,120.0,459.8368479404009,4.509205371719434,False,0.5025456433116853
129,39.58,122.0,464.0681366371752,4.5098457388346915,False,0.5020423576240338
129,39.58,124.0,468.3083535094434,4.510477862536456,False,0.5015396213660921
129,39.58,126.0,472.55735735859577,4.511101931526216,False,0.5010375320613525
129,39.58,128.0,476.8150108813357,4.511718129961824,False,0.500536182719526
129,39.58,130.0,481.08118056018327,4.512326637376454,False,0.5000356618447199
129,39.58,132.0,485.3557365517006,4.5129276286421245,False,0.49953605348200636
129,39.58,134.0,489.6385525738288,4.513521273968908,False,0.4990374372935875
129,39.58,136.0,493.92950579342244,4.514107738932568,False,0.49853988865744103
129,39.58,138.0,498.228476714818,4.514687184524711,False,0.4980434787827548
129,39.58,140.0,502.5353490700773,4.515259767220591,False,0.4975482748375075
129,39.58,142.0,506.85000971139357,4.515825639060604,False,0.4970547207205902
129,39.58,144.0,511.17234850601875,4.516384947742214,False,0.496562848699285
129,39.58,146.0,515.5022582339707,4.51693783671967,False,0.4960723279622865
129,39.58,148.0,519.8396344887003,4.517484445309309,False,0.4955832124263031
129,39.58,150.0,524.1843755808372,4.518024908798697,False,0.49509555260470783
129,39.58,152.0,528.5363824450744,4.518559358558148,False,0.4946093957558588
129,39.58,154.0,532.8955585502205,4.519087922153449,False,0.49412478602877297
129,39.58,156.0,537.2618098124118,4.519610723458831,False,0.4936417646054778
129,39.58,158.0,541.6350445114571,4.520127882769443,False,0.49316036983950884
129,39.58,160.0,546.0151732102579,4.520639516912694,False,0.4926806373902197
129,39.58,162.0,550.4021086772501,4.521145739357989,False,0.4922026003525959
129,39.58,164.0,554.7957658117846,4.521646660324477,False,0.4917262893824468
129,39.58,166.0,559.1960615723672,4.522142386886524,False,0.4912517328168615
129,39.58,168.0,563.6029149076718,4.522633023076673,False,0.490778956789903
129,39.58,170.0,568.0162466902323,4.523118669985949,False,0.4903079853435486
129,39.58,172.0,572.435979652722,4.5235994258613825,False,0.4898388405339329
129,39.58,174.0,576.8620383267264,4.524075386200682,False,0.4893716617475148
129,39.58,176.0,581.2943489839131,4.524546643844013,False,0.4889067125196922
129,39.58,178.0,585.73283957951,4.525013289062872,False,0.4884436257529998
