m_GeV,delta_keV,f2,Z5,B,kappa_hat,mu_hi,mu_gap,mu_lomid,mu_he,exo_fraction_of_hi,exo_fraction_of_roi
1000.0,110.0,0.00017782794100389227,1.0762215103805848,0.0036523633833198954,3.597799572751509e-08,0.0062535325861007435,0.05285369450437968,2.1327755392964525,0.002907147369332661,0.0011412817005778508,0.0012672094530966154
1000.0,110.0,0.00031622776601683794,1.0761824825523965,0.0036518638559252434,3.594702851016232e-08,0.006252835926853242,0.052845208503481435,2.1327538111014475,0.0029072109045033497,0.0020279968132549675,0.002251543183543491
1000.0,110.0,0.0005623413251903491,1.0761132347393043,0.0036509777021285585,3.5892098641164196e-08,0.006251601251060503,0.05283016437244582,2.1327156811005095,0.0029073241858542103,0.003601545355511158,0.003997849354073473
1000.0,110.0,0.001,1.0759905792498135,0.003649408622794422,3.57948566442841e-08,0.006249419328238634,0.0528035619785582,2.132649656994753,0.002907526816496929,0.006389432203494318,0.007090324519425355
1000.0,110.0,0.0017782794100389228,1.075773988932367,0.0036466395114989093,3.562320599111147e-08,0.006245564364563367,0.052756576405713955,2.1325317747027563,0.0029078826068600805,0.011314688939492057,0.012549036453042832
1000.0,110.0,0.0031622776601683794,1.0753935830186723,0.0036417810671708086,3.5322002227859087e-08,0.006238800906002529,0.05267413669798995,2.1323253211824333,0.002908507495712681,0.01997218095127288,0.02212985564812743
1000.0,110.0,0.005623413251903491,1.0747317516248167,0.0036333436519171967,3.479873206419706e-08,0.00622704446834491,0.05253086566240613,2.131964128795709,0.0029095895158797944,0.035056032125682667,0.03877879514219466
1000.0,110.0,0.01,1.073599024828861,0.003618948010551873,3.3905443728727575e-08,0.006206961363309209,0.05228617822615128,2.131342348309357,0.0029114293351921836,0.06093568472332289,0.0672152908352087
1000.0,110.0,0.01778279410038923,1.0717137098358493,0.00359511328642909,3.2425086841880256e-08,0.006173648434819819,0.0518804358064819,2.1302998485954463,0.0029144611885462295,0.10418868545019852,0.11438271602936421
1000.0,110.0,0.03162277660168379,1.0687169209136256,0.003557547038056899,3.008844373954115e-08,0.006120979828635275,0.05123931650275602,2.1286208846377583,0.002919199452725729,0.17340438763924493,0.18894224580081947
1000.0,110.0,0.05623413251903491,1.0642851298812983,0.0035027040045197714,2.6669704912138455e-08,0.006043726163033296,0.05029976131129273,2.1260891736222276,0.002926025603739701,0.27681826164967616,0.29827870466993556
1000.0,110.0,0.1,1.058384303689913,0.0034309775656144277,2.2185309536891515e-08,0.005942029027272897,0.04906447260726749,2.122627895119122,0.002934780941197827,0.41649714487430434,0.44216542368481476
1000.0,110.0,0.1778279410038923,1.051536519426219,0.003349555667111301,1.707699080891792e-08,0.005825660851637752,0.047653195490202124,2.1184830804024464,0.0029444687663900525,0.5814969642549256,0.6067599394569211
1000.0,110.0,0.31622776601683794,1.0447501694613635,0.0032707407659910183,1.2114717659670883e-08,0.005712056339210731,0.04627781803955116,2.1142387108556893,0.002953571196070699,0.7481731525731371,0.767399306493646
1000.0,110.0,0.5623413251903491,1.038999210752286,0.0032053773368897866,7.986708528804469e-09,0.005617109929835889,0.045130186244719386,2.1105370981498885,0.0029609017104857984,0.8919411837843982,0.9016342141392567
1000.0,110.0,1.0,1.0347376768600924,0.0031577686969234088,4.972996704156123e-09,0.005547527663108119,0.04429024622477623,2.107731984729228,0.0029661081968592553,1.0,1.0
1000.0,120.0,0.0,1.2465965505302563,0.005858645834421737,5.829997806786841e-08,0.008789676061221772,0.07333923252558609,2.2514157959784526,0.004132973974810741,0.0,0.0
1000.0,120.0,1e-08,1.2465965453437928,0.005858645728176654,5.829997347659809e-08,0.008789675955777808,0.07333923133111074,2.2514157978248273,0.004132973976368651,7.675617998572035e-08,8.906706804953794e-08
1000.0,120.0,1.7782794100389228e-08,1.2465965413072653,0.005858645645488306,5.8299984648582095e-08,0.008789678096804754,0.07333924895049167,2.251416368691693,0.004132975022896199,1.3649392737031148e-07,1.5838612347853737e-07
